algoritmo;dataset;query;tree_leaves_time;external_keys_time;case1_time;case2_time;case3_time;total_time;memory;tree_leaves_time_perc;external_keys_time_perc;case1_time_perc;case2_time_perc;case3_time_perc
PGKEYMAKER;synthea_700;3;25.16;240.66;0.0;151.05;17.71;434.58;1140.0;5.79;55.38;0.0;34.76;4.08
PGKEYMAKER;synthea_700;4;20.99;266.98;0.0;192.32;52.03;532.32;1072.1;3.94;50.15;0.0;36.13;9.77
PGKEYMAKER;synthea_700;5;23.68;236.26;0.0;61.92;6.71;328.57;536.84;7.21;71.91;0.0;18.85;2.04
PGKEYMAKER;synthea_700;6;22.47;236.25;0.0;103.6;11.83;374.15;841.64;6.01;63.14;0.0;27.69;3.16
PGKEYMAKER;synthea_700;7;22.77;236.05;0.0;101.03;11.02;370.87;738.72;6.14;63.65;0.0;27.24;2.97
PGKEYMAKER;synthea_700;8;23.23;233.34;0.0;161.27;19.27;437.11;1142.55;5.31;53.38;0.0;36.89;4.41
PGKEYMAKER;synthea_800;1;31.33;303.51;0.0;66.81;6.62;408.27;641.18;7.67;74.34;0.0;16.36;1.62
PGKEYMAKER;synthea_800;2;30.01;312.71;0.0;183.4;22.9;549.02;1113.83;5.47;56.96;0.0;33.4;4.17
PGKEYMAKER;synthea_800;3;30.15;305.38;0.0;184.46;20.61;540.6;1211.06;5.58;56.49;0.0;34.12;3.81
PGKEYMAKER;synthea_800;4;25.34;299.8;0.0;210.91;47.45;583.5;1107.5;4.34;51.38;0.0;36.15;8.13
PGKEYMAKER;synthea_800;5;30.72;296.85;0.0;73.22;7.6;408.39;627.12;7.52;72.69;0.0;17.93;1.86
PGKEYMAKER;synthea_800;6;29.55;286.33;0.0;117.28;14.11;447.27;887.2;6.61;64.02;0.0;26.22;3.15
PGKEYMAKER;synthea_800;7;26.74;300.48;0.0;115.4;12.65;455.27;774.32;5.87;66.0;0.0;25.35;2.78
PGKEYMAKER;synthea_800;8;27.63;300.82;0.0;194.25;22.38;545.08;1170.53;5.07;55.19;0.0;35.64;4.11
PGKEYMAKER;synthea_900;1;32.96;362.6;0.0;76.2;7.32;479.08;777.2;6.88;75.69;0.0;15.91;1.53
PGKEYMAKER;synthea_900;2;32.61;369.19;0.0;202.37;22.79;626.96;1373.08;5.2;58.89;0.0;32.28;3.64
PGKEYMAKER;synthea_900;3;32.22;366.52;0.0;199.63;23.23;621.6;1464.63;5.18;58.96;0.0;32.12;3.74
PGKEYMAKER;synthea_900;4;26.06;392.41;0.0;240.97;68.03;727.47;1375.52;3.58;53.94;0.0;33.12;9.35
PGKEYMAKER;synthea_900;5;33.51;358.11;0.0;82.53;8.68;482.83;737.6;6.94;74.17;0.0;17.09;1.8
PGKEYMAKER;synthea_900;6;31.69;356.37;0.0;137.58;15.47;541.11;1094.43;5.86;65.86;0.0;25.43;2.86
PGKEYMAKER;synthea_900;7;31.11;365.7;0.0;129.29;13.91;540.01;930.04;5.76;67.72;0.0;23.94;2.58
PGKEYMAKER;synthea_900;8;30.1;356.47;0.0;206.92;25.39;618.88;1450.95;4.86;57.6;0.0;33.43;4.1
PGKEYMAKER-NOTREE;finbench;1;39.89;0.0;0.0;0.0;0.0;39.89;378.58;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;2;40.69;0.0;0.0;0.0;0.0;40.69;377.05;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;3;40.28;0.0;0.0;0.0;0.0;40.28;313.5;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;4;29.52;0.0;0.0;0.0;0.0;29.52;307.88;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;5;27.24;0.0;0.0;0.0;0.0;27.24;377.36;100.0;0.0;0.0;0.0;0.0
